"Age","Sig1Mean","Sig1Med","Sig1RobMean","Cohort"
"1",31,37.3174051298811,37.3174051298811,37,"NRAS"
"2",32,48.8386436485553,48.8386436485553,48,"NRAS"
"3",33,23.3643698316884,23.3643698316884,23,"NRAS"
"4",34,35.2289573982253,35.2289573982253,35,"NRAS"
"5",35,50.0814860790584,50.0814860790584,50,"NRAS"
"6",38,62.0593732710875,62.0593732710875,62,"NRAS"
"7",39,39.5236476512127,47.7200972461167,47.5,"NRAS"
"8",40,44.0586476401521,44.0586476401521,43.4281015012169,"NRAS"
"9",43,75.9716945886928,42.4584522046174,42,"NRAS"
"10",44,71.4371518827453,71.4371518827453,70.6540869306228,"NRAS"
"11",45,142.37913051383,142.37913051383,142,"NRAS"
"12",46,54.0273006081296,56.8435883635982,56,"NRAS"
"13",47,58.6271285880757,58.6271285880757,46.2493243193887,"NRAS"
"14",48,49.2164518154098,47.6220916191134,47,"NRAS"
"15",49,31.1279535638999,31.1279535638999,31,"NRAS"
"16",50,38.0049944868989,38.0049944868989,37.5000001481789,"NRAS"
"17",51,17.8655598036052,17.8655598036052,17,"NRAS"
"18",52,83.9388175207462,57.7648960311832,57,"NRAS"
"19",53,21.3668556447951,21.3668556447951,21,"NRAS"
"20",54,57.654775636739,57.654775636739,47.8330429724056,"NRAS"
"21",55,42.4531193730209,34.8125227961402,34,"NRAS"
"22",57,34.4045012435588,36.8984263463,36,"NRAS"
"23",58,40.1644527283809,33.0690898566669,29.563490998189,"NRAS"
"24",59,79.1297033008374,79.1297033008374,58.3609458456595,"NRAS"
"25",60,80.5919871819563,80.5919871819563,80,"NRAS"
"26",61,99.2385530098125,99.2385530098125,99,"NRAS"
"27",63,53.2758236329197,53.2758236329197,53,"NRAS"
"28",65,88.7188131377946,100.1748722069,100,"NRAS"
"29",66,65.4797201189034,65.4797201189034,65,"NRAS"
"30",67,15.7334459507231,15.7334459507231,15,"NRAS"
"31",69,89.8408889838812,89.8408889838812,89,"NRAS"
"32",70,53.5964274292275,36.7827515385565,36,"NRAS"
"33",71,55.4778800187818,59.068200385631,58.309518948453,"NRAS"
"34",72,63.8084974943022,63.8084974943022,44.2944691807002,"NRAS"
"35",73,94.7584393379298,94.7584393379298,88.017043804027,"NRAS"
"36",75,92.0035282522679,103.293623133409,103,"NRAS"
"37",77,72.4135242822496,72.4135242822496,72,"NRAS"
"38",78,137.598271221798,137.598271221798,112.627705294923,"NRAS"
"39",79,47.6068930842945,47.6068930842945,42.5323406362735,"NRAS"
"40",80,55.8747219700189,55.8747219700189,53.5723809439155,"NRAS"
"41",83,26.4172210682718,26.4172210682718,26,"NRAS"
"42",85,98.7330851805275,98.7330851805275,98,"NRAS"
"43",86,22.1645092779584,22.1645092779584,22,"NRAS"
